Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575086054000000000,79997924,80014640,80017108,79989508,79989000,79940392,79565120,79774184,79971436,80078096,79903760,80053496,79676052,79981048,79919476,79990532
1575086055000000000,79997924,80014640,80017108,79989508,79989000,79940680,79565256,79774184,79971436,80078128,79903760,80053620,79676132,79981048,79919832,79990532
1575086056000000000,79997924,80014640,80017108,79989548,79989000,79940804,79565272,79774184,79971436,80078652,79904332,80053660,79676196,79981048,79919864,79990564
1575086057000000000,79998076,80014640,80017668,79989424,79988876,79940896,79565208,79774184,79971492,80079028,79904960,80053720,79676196,79981048,79919892,79990564
1575086058000000000,79998076,80014640,80013812,79989424,79988876,79940896,79565192,79774184,79971444,80078948,79904960,80053720,79676140,79981048,79919892,79990572
1575086059000000000,79998276,80014640,80014068,79989440,79988876,79940896,79565208,79774136,79971816,80078948,79904944,80053720,79676140,79980512,79919940,79990620
1575086060000000000,79998252,80014640,80014160,79989440,79988924,79941020,79565300,79774168,79968020,80078948,79896216,80051796,79676140,79979764,79918188,79990588
1575086061000000000,79998244,80014684,80014160,79989444,79988876,79941020,79565580,79760700,79968020,80078940,79896464,80051984,79676140,79980180,79918260,79990540
1575086062000000000,79998244,80014684,80013092,79989476,79988876,79941020,79565580,79760856,79968032,80078940,79896464,80051984,79676172,79980196,79918292,79990604
1575086063000000000,79998308,80014684,80013116,79989476,79988876,79941092,79565596,79760856,79968032,80078940,79896768,80051984,79676172,79980156,79918416,79990728
1575086064000000000,79998308,80014684,80013132,79989524,79988876,79941092,79566132,79758192,79968080,80069672,79896768,80051984,79676164,79980156,79918360,79990680
1575086065000000000,79998432,80014684,80013156,79989572,79988908,79941092,79566132,79757928,79968592,80070120,79896768,80052108,79676304,79980156,79918376,79990680
1575086066000000000,79998416,80014684,80013164,79989572,79988908,79941092,79566132,79757928,79968592,80073776,79897280,80052108,79676304,79980428,79918964,79990680
1575086067000000000,79998416,80014684,80013164,79989572,79988908,79941092,79566132,79757920,79968592,80073900,79897792,80052060,79676304,79980428,79918988,79990784
1575086068000000000,79998416,80014684,80013684,79989884,79988908,79941092,79566228,79757920,79968592,80074032,79897940,80052060,79676304,79981060,79918988,79990784
1575086069000000000,79998416,80014684,80013684,79989948,79988908,79941092,79566204,79758292,79968592,80074280,79897940,80052060,79674540,79981920,79919052,79990784
1575086070000000000,79998416,80014684,80013684,79989948,79988908,79941092,79566204,79758292,79968624,80074792,79897848,80052124,79672684,79982344,79919156,79990784
1575086071000000000,79998480,80014684,80013684,79989948,79988972,79941092,79566236,79747760,79968624,80074792,79897848,80052124,79672684,79982376,79919204,79990816
1575086072000000000,79998480,80014684,80013684,79989948,79988972,79941092,79566220,79747760,79968624,80074920,79897848,80052092,79672684,79982408,79919204,79990884
1575086073000000000,79998480,80014684,80013684,79990136,79988972,79941092,79566220,79747844,79968624,80075044,79897848,80052124,79672684,79982408,79919204,79990884
1575086074000000000,79998512,80014684,80016860,79990136,79988972,79941092,79566252,79747844,79968624,80075556,79897848,80052368,79672684,79982408,79919188,79990836
1575086075000000000,79998512,80014684,80016984,79990136,79988972,79941324,79566268,79747844,79971624,80075556,79897848,80052368,79672684,79982408,79919188,79990836
1575086076000000000,80148700,80164232,80167316,80139928,80138944,79941324,79566296,79748040,80121196,80226196,80047116,80201948,79823652,80132028,80068984,79990920
